layer,train_rmse,test_rmse,test_r2
0,0.49969915,0.513692,0.061173618
1,0.49670705,0.5080194,0.081793845
2,0.4869089,0.50007224,0.110296786
3,0.48004737,0.48975503,0.14662981
4,0.4780557,0.49083444,0.14286405
5,0.4749002,0.4880452,0.152578
6,0.47340104,0.48353505,0.16816807
7,0.46797565,0.47856578,0.18517756
8,0.45819,0.46970183,0.21508223
9,0.44289318,0.45348072,0.26836014
10,0.44182494,0.45459676,0.2647546
11,0.44525468,0.45812315,0.25330353
12,0.44253698,0.45389464,0.26702392
13,0.4442801,0.45430267,0.26570553
14,0.4429534,0.45378485,0.2673785
15,0.42952496,0.44320586,0.30113924
16,0.43401468,0.44498104,0.29552972
17,0.43713185,0.4490134,0.28270417
18,0.43091497,0.44211408,0.30457807
19,0.4205351,0.43163872,0.33714205
20,0.43026623,0.44091406,0.30834806
21,0.4379529,0.449175,0.28218782
22,0.44153026,0.45476833,0.26419944
23,0.4467286,0.45962644,0.24839497
24,0.44662496,0.45944428,0.2489906
25,0.44834793,0.46034655,0.24603802
26,0.45316106,0.46759292,0.22211474
27,0.45428547,0.46725535,0.22323751
